"day","news count"
"14/10/2020","742"
"17/10/2020","555"
"13/10/2020","674"
"19/10/2020","703"
"18/10/2020","547"
"12/10/2020","799"
"11/10/2020","538"
"16/10/2020","645"
"15/10/2020","714"
"10/10/2020","719"
